amfi_code,scheme_name,fund_house,category,risk_category,max_drawdown_pct,drawdown_date,peak_nav,trough_nav,Drawdown_Rank
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Moderate,-17.57,2025-02-14,435.7823,359.1996,24
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,High,-18.19,2025-01-23,342.4337,280.1501,25
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Moderate,-18.63,2024-02-29,62.7459,51.0565,26
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Moderately High,-19.83,2023-08-14,277.8107,222.7329,27
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,High,-20.96,2022-08-11,77.8221,61.5099,28
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,High,-21.12,2025-09-12,168.9962,133.3088,29
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Moderately High,-21.54,2022-07-04,191.0721,149.9155,30
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Moderate,-21.75,2023-05-22,42.2166,33.0339,31
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Very High,-23.34,2026-02-20,126.7224,97.1392,32
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,High,-24.0,2024-10-17,80.0837,60.8608,33
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Moderate,-24.73,2022-09-15,546.3002,411.1759,34
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,High,-28.0,2026-04-27,169.8164,122.2659,35
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Very High,-28.71,2025-05-14,225.2452,160.5863,36
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Very High,-31.17,2025-01-03,174.4645,120.0806,37
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Very High,-35.45,2026-05-11,80.3517,51.8695,38
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Very High,-51.68,2026-05-11,106.8214,51.6185,39
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Very High,-52.57,2025-10-28,165.7647,78.6152,40
