amfi_code,scheme_name,fund_house,category,benchmark,start_date,end_date,start_nav,end_nav,available_period_years,CAGR_1Y_pct,CAGR_3Y_pct,CAGR_Till_Date_pct
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,NIFTY 50 TRI,2022-01-03,2026-05-29,170.3428,326.7508,4.4,22.49,20.01,15.96
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,CRISIL Dynamic Gilt Index,2022-01-03,2026-05-29,30.1152,37.8243,4.4,10.45,4.06,5.32
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,38.7466,50.8387,4.4,1.61,0.53,6.37
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,41.814,58.4203,4.4,19.77,20.82,7.9
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,NIFTY Midcap 50 TRI,2022-01-03,2026-05-29,68.3023,203.8581,4.4,22.26,35.11,28.21
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,BSE 250 SmallCap TRI,2022-01-03,2026-05-29,52.5238,56.1319,4.4,-42.8,-11.71,1.52
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,CRISIL Dynamic Gilt Index,2022-01-03,2026-05-29,42.1391,54.2038,4.4,5.52,5.84,5.89
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,54.3856,149.3216,4.4,60.44,30.46,25.8
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,58.4174,137.7323,4.4,5.71,16.27,21.52
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,BSE 250 SmallCap TRI,2022-01-03,2026-05-29,89.8738,309.205,4.4,82.78,26.67,32.42
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,BSE 250 SmallCap TRI,2022-01-03,2026-05-29,96.4565,105.4849,4.4,13.95,-1.34,2.05
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,55.3983,118.1496,4.4,8.49,13.98,18.79
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,60.1474,151.1311,4.4,13.06,32.49,23.3
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,NIFTY Midcap 150 TRI,2022-01-03,2026-05-29,135.872,473.764,4.4,29.6,31.78,32.83
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,NIFTY 500 TRI,2022-01-03,2026-05-29,202.0453,404.4207,4.4,41.82,18.42,17.08
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,CRISIL Liquid Fund AI Index,2022-01-03,2026-05-29,285.7447,388.5939,4.4,7.43,7.39,7.24
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,275.837,482.127,4.4,16.84,17.27,13.53
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,NIFTY Midcap 150 TRI,2022-01-03,2026-05-29,62.1265,82.6457,4.4,22.5,7.76,6.7
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,NIFTY 500 TRI,2022-01-03,2026-05-29,49.9131,163.2397,4.4,26.66,29.58,30.91
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,CRISIL Liquid Fund AI Index,2022-01-03,2026-05-29,3180.6318,4268.5497,4.4,7.12,6.7,6.92
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,560.1443,1204.9571,4.4,28.68,18.43,19.02
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,NIFTY Midcap 150 TRI,2022-01-03,2026-05-29,117.5969,188.3619,4.4,15.44,11.25,11.3
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,70.2514,230.2708,4.4,20.36,34.0,30.97
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,NIFTY Large Midcap 250 TRI,2022-01-03,2026-05-29,84.0757,205.451,4.4,14.27,14.75,22.52
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,NIFTY 500 TRI,2022-01-03,2026-05-29,28.862,97.7435,4.4,39.75,29.18,31.95
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,NIFTY 100 TRI,2022-01-03,2026-05-29,348.7159,606.2349,4.4,18.11,18.04,13.39
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,NIFTY Midcap 150 TRI,2022-01-03,2026-05-29,78.4622,245.3651,4.4,21.48,26.87,29.58
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,BSE 250 SmallCap TRI,2022-01-03,2026-05-29,81.6814,279.7511,4.4,65.14,27.0,32.29
