investor_id,first_sip_date,last_sip_date,total_sip_transactions,total_sip_amount_inr,max_sip_gap_days,average_sip_gap_days,continuity_status,state,city,city_tier,age_group,gender,annual_income_lakh,kyc_status
INV000051,2024-02-27,2024-07-25,3,13220,82.0,74.5,At Risk,Haryana,Gurugram,T30,36-45,Male,21.0,Verified
INV000052,2024-03-31,2024-09-28,6,24378,120.0,36.2,At Risk,Tamil Nadu,Coimbatore,B30,26-35,Male,19.1,Verified
INV000053,2025-04-29,2025-05-06,2,9834,7.0,7.0,Continuous,Maharashtra,Pune,T30,36-45,Male,52.3,Verified
INV000054,2024-05-30,2025-02-27,5,16934,103.0,68.25,At Risk,Telangana,Hyderabad,T30,46-55,Female,37.5,Pending
INV000055,2024-01-30,2025-03-05,5,60729,156.0,100.0,At Risk,Karnataka,Bangalore,T30,26-35,Male,13.5,Verified
INV000056,2024-01-10,2025-01-18,6,60977,161.0,74.8,At Risk,Haryana,Faridabad,B30,26-35,Female,22.5,Verified
INV000057,2024-04-30,2025-04-13,8,90907,149.0,49.71,At Risk,Tamil Nadu,Chennai,T30,36-45,Male,59.9,Verified
INV000058,2024-02-08,2024-12-11,5,17010,121.0,76.75,At Risk,Maharashtra,Mumbai,T30,26-35,Male,19.9,Verified
INV000059,2024-01-10,2024-01-10,1,1764,0.0,0.0,Continuous,Maharashtra,Nashik,B30,18-25,Male,5.2,Verified
INV000060,2024-04-26,2024-07-25,2,24574,90.0,90.0,At Risk,Madhya Pradesh,Indore,T30,36-45,Male,45.6,Verified
INV000061,2024-02-21,2024-04-01,3,4229,25.0,20.0,Continuous,Tamil Nadu,Chennai,T30,26-35,Female,23.3,Verified
INV000062,2024-01-30,2025-05-08,5,96430,215.0,116.0,At Risk,Haryana,Faridabad,B30,46-55,Male,22.9,Verified
INV000063,2024-01-19,2025-03-30,3,9210,403.0,218.0,At Risk,Uttar Pradesh,Agra,B30,46-55,Male,88.9,Verified
INV000065,2024-05-06,2025-04-08,4,116319,165.0,112.33,At Risk,Maharashtra,Mumbai,T30,46-55,Female,43.2,Verified
INV000066,2024-11-25,2025-03-03,2,27388,98.0,98.0,At Risk,Haryana,Faridabad,B30,56+,Male,64.2,Verified
INV000067,2024-10-29,2024-10-29,1,538,0.0,0.0,Continuous,Delhi,Gurugram,T30,36-45,Male,19.7,Verified
INV000069,2024-02-14,2025-05-01,10,156054,129.0,49.11,At Risk,Gujarat,Ahmedabad,T30,56+,Female,35.9,Verified
INV000070,2024-03-14,2024-09-14,3,9644,145.0,92.0,At Risk,West Bengal,Kolkata,T30,56+,Female,20.1,Verified
INV000071,2024-03-28,2024-06-09,4,158957,57.0,24.33,At Risk,Madhya Pradesh,Bhopal,B30,26-35,Female,18.2,Pending
INV000072,2024-03-24,2025-05-13,6,49372,247.0,83.0,At Risk,Gujarat,Ahmedabad,T30,18-25,Female,6.4,Verified
INV000073,2024-03-20,2025-04-10,9,113509,112.0,48.25,At Risk,Punjab,Amritsar,B30,18-25,Male,5.5,Verified
INV000074,2024-01-08,2025-05-30,8,106669,191.0,72.57,At Risk,Rajasthan,Jaipur,T30,26-35,Female,8.4,Verified
INV000075,2024-05-01,2025-05-10,6,147761,102.0,74.8,At Risk,Madhya Pradesh,Bhopal,B30,36-45,Male,27.2,Verified
INV000076,2024-02-06,2025-05-10,6,50910,203.0,91.8,At Risk,Gujarat,Ahmedabad,T30,56+,Female,67.1,Verified
INV000078,2025-05-17,2025-05-17,1,28687,0.0,0.0,Continuous,Haryana,Faridabad,B30,26-35,Male,20.2,Verified
INV000079,2024-06-02,2025-04-27,6,42160,90.0,65.8,At Risk,Gujarat,Surat,T30,26-35,Male,17.0,Verified
INV000080,2024-06-27,2025-02-25,4,41699,173.0,81.0,At Risk,Telangana,Hyderabad,T30,26-35,Male,12.4,Verified
INV000081,2024-01-01,2025-05-03,7,54704,167.0,81.33,At Risk,Gujarat,Surat,T30,36-45,Male,31.0,Verified
INV000082,2024-01-09,2025-05-25,7,27594,351.0,83.67,At Risk,Rajasthan,Udaipur,B30,26-35,Female,19.6,Verified
INV000083,2024-08-11,2024-08-11,1,572,0.0,0.0,Continuous,Uttar Pradesh,Kanpur,B30,56+,Female,42.0,Verified
INV000084,2024-02-10,2024-12-12,4,48068,155.0,102.0,At Risk,West Bengal,Kolkata,T30,26-35,Male,11.2,Verified
INV000085,2024-02-02,2025-02-01,5,43372,300.0,91.25,At Risk,Gujarat,Surat,T30,26-35,Female,14.6,Verified
INV000086,2024-02-05,2025-03-13,10,81221,167.0,44.67,At Risk,Karnataka,Mysore,B30,18-25,Female,4.1,Verified
INV000087,2024-02-20,2025-05-29,6,105288,202.0,92.8,At Risk,Rajasthan,Jaipur,T30,36-45,Male,56.2,Verified
INV000088,2024-07-24,2024-08-02,2,9738,9.0,9.0,Continuous,Delhi,Noida,T30,26-35,Male,20.4,Verified
INV000089,2024-05-29,2025-05-28,4,16620,177.0,121.33,At Risk,Maharashtra,Mumbai,T30,26-35,Female,11.2,Verified
INV000090,2024-07-08,2025-04-25,3,12373,249.0,145.5,At Risk,Rajasthan,Udaipur,B30,26-35,Female,23.7,Verified
INV000091,2024-01-04,2024-11-07,8,55134,105.0,44.0,At Risk,Haryana,Gurugram,T30,26-35,Male,14.6,Verified
INV000092,2024-10-18,2024-11-02,3,2680,14.0,7.5,Continuous,Haryana,Gurugram,T30,18-25,Female,3.7,Verified
INV000093,2024-01-30,2024-12-28,7,141515,91.0,55.5,At Risk,Maharashtra,Mumbai,T30,36-45,Female,59.0,Verified
INV000094,2024-04-04,2024-11-14,6,49928,95.0,44.8,At Risk,West Bengal,Kolkata,T30,18-25,Male,3.7,Verified
INV000095,2024-04-19,2025-04-01,6,92823,155.0,69.4,At Risk,West Bengal,Kolkata,T30,18-25,Male,6.5,Verified
INV000096,2024-12-14,2024-12-16,2,17236,2.0,2.0,Continuous,Gujarat,Surat,T30,26-35,Female,13.9,Verified
INV000097,2024-05-10,2025-04-02,7,155107,183.0,54.5,At Risk,Karnataka,Mysore,B30,18-25,Male,6.0,Verified
INV000098,2024-10-02,2025-04-25,5,22158,103.0,51.25,At Risk,Telangana,Hyderabad,T30,36-45,Male,33.8,Verified
INV000099,2024-03-19,2025-03-21,5,27061,206.0,91.75,At Risk,Haryana,Gurugram,T30,36-45,Male,43.5,Verified
INV000100,2024-02-04,2025-04-09,3,82724,275.0,215.0,At Risk,Rajasthan,Udaipur,B30,56+,Male,57.2,Verified
INV000101,2024-02-08,2025-05-08,8,112802,197.0,65.0,At Risk,Madhya Pradesh,Indore,T30,26-35,Male,20.8,Verified
INV000102,2024-02-11,2025-05-13,8,114074,109.0,65.29,At Risk,Gujarat,Surat,T30,26-35,Male,21.9,Verified
INV000103,2024-02-08,2025-03-31,6,20675,232.0,83.4,At Risk,Punjab,Chandigarh,T30,26-35,Female,18.2,Verified
INV000104,2024-01-06,2025-04-10,5,55345,247.0,115.0,At Risk,Madhya Pradesh,Indore,T30,26-35,Male,8.1,Pending
INV000105,2024-01-02,2025-02-04,8,86911,87.0,57.0,At Risk,Punjab,Chandigarh,T30,56+,Male,41.4,Verified
INV000106,2024-12-09,2025-03-31,2,56771,112.0,112.0,At Risk,Uttar Pradesh,Kanpur,B30,18-25,Female,5.1,Verified
INV000107,2024-05-04,2024-11-20,3,19084,200.0,100.0,At Risk,Maharashtra,Mumbai,T30,26-35,Male,14.7,Verified
INV000108,2024-10-11,2025-02-28,3,14990,71.0,70.0,At Risk,Uttar Pradesh,Agra,B30,36-45,Male,26.2,Verified
INV000109,2024-02-29,2025-03-05,9,67651,63.0,46.25,At Risk,Karnataka,Bangalore,T30,26-35,Female,15.0,Verified
INV000110,2024-04-26,2024-12-26,3,16633,194.0,122.0,At Risk,Uttar Pradesh,Agra,B30,46-55,Female,85.3,Verified
INV000111,2024-12-16,2024-12-16,1,11558,0.0,0.0,Continuous,Karnataka,Bangalore,T30,56+,Male,42.5,Verified
INV000112,2024-02-13,2024-10-11,3,21780,216.0,120.5,At Risk,Tamil Nadu,Chennai,T30,26-35,Male,20.5,Verified
INV000113,2024-02-11,2024-12-29,8,84349,144.0,46.0,At Risk,Punjab,Chandigarh,T30,26-35,Female,7.3,Verified
INV000114,2024-05-17,2024-05-17,1,2628,0.0,0.0,Continuous,West Bengal,Kolkata,T30,36-45,Male,59.6,Verified
INV000115,2024-02-02,2025-03-29,4,31235,218.0,140.33,At Risk,Tamil Nadu,Coimbatore,B30,36-45,Male,16.6,Verified
INV000116,2024-04-27,2025-03-08,3,16533,282.0,157.5,At Risk,West Bengal,Kolkata,T30,18-25,Male,3.2,Verified
INV000117,2024-04-04,2025-03-22,4,23230,126.0,117.33,At Risk,Karnataka,Bangalore,T30,26-35,Female,15.6,Verified
INV000118,2024-09-01,2025-03-22,5,32373,152.0,50.5,At Risk,Telangana,Hyderabad,T30,26-35,Male,20.2,Verified
INV000119,2024-09-14,2025-02-03,2,34154,142.0,142.0,At Risk,Rajasthan,Jaipur,T30,26-35,Female,16.8,Verified
INV000120,2024-05-28,2025-01-18,3,30449,223.0,117.5,At Risk,Tamil Nadu,Chennai,T30,26-35,Male,24.4,Verified
INV000121,2024-06-13,2024-11-30,2,10103,170.0,170.0,At Risk,Telangana,Hyderabad,T30,18-25,Male,7.8,Verified
INV000122,2024-03-25,2024-03-25,1,46110,0.0,0.0,Continuous,Madhya Pradesh,Bhopal,B30,36-45,Male,50.0,Verified
INV000123,2024-03-28,2025-03-21,7,113633,142.0,59.67,At Risk,Punjab,Chandigarh,T30,46-55,Male,73.3,Verified
INV000124,2024-02-15,2025-04-24,4,28267,344.0,144.67,At Risk,Punjab,Amritsar,B30,36-45,Female,46.2,Verified
INV000125,2024-06-16,2025-05-25,5,50689,123.0,85.75,At Risk,Tamil Nadu,Coimbatore,B30,36-45,Male,35.6,Verified
INV000126,2025-01-25,2025-01-25,1,548,0.0,0.0,Continuous,Maharashtra,Mumbai,T30,26-35,Male,19.4,Pending
INV000127,2025-02-01,2025-02-01,1,9781,0.0,0.0,Continuous,Delhi,Gurugram,T30,18-25,Male,7.3,Verified
INV000128,2024-03-19,2025-05-03,6,38273,181.0,82.0,At Risk,Rajasthan,Jaipur,T30,36-45,Female,50.9,Verified
INV000129,2024-03-06,2025-05-14,5,61583,256.0,108.5,At Risk,Punjab,Amritsar,B30,26-35,Female,21.4,Verified
INV000130,2024-08-17,2025-02-03,2,25533,170.0,170.0,At Risk,Madhya Pradesh,Indore,T30,56+,Female,69.4,Verified
INV000131,2024-04-05,2025-03-07,7,102201,123.0,56.0,At Risk,Telangana,Hyderabad,T30,36-45,Female,16.8,Verified
INV000132,2024-05-12,2025-05-02,6,88403,139.0,71.0,At Risk,Karnataka,Bangalore,T30,46-55,Female,37.1,Verified
INV000133,2024-02-15,2025-05-01,6,74695,265.0,88.2,At Risk,Karnataka,Bangalore,T30,26-35,Female,11.5,Verified
INV000134,2024-01-20,2024-07-12,3,14726,106.0,87.0,At Risk,Punjab,Chandigarh,T30,36-45,Female,50.2,Verified
INV000135,2024-01-24,2024-09-20,3,27923,238.0,120.0,At Risk,Punjab,Amritsar,B30,18-25,Male,5.7,Verified
INV000136,2024-09-02,2024-09-02,1,820,0.0,0.0,Continuous,Gujarat,Surat,T30,18-25,Male,3.7,Verified
INV000137,2024-05-25,2025-01-24,4,67583,150.0,81.33,At Risk,Rajasthan,Jaipur,T30,26-35,Female,12.0,Verified
INV000138,2024-05-06,2025-05-22,6,156066,220.0,76.2,At Risk,Telangana,Hyderabad,T30,26-35,Male,24.7,Verified
INV000139,2024-03-24,2024-03-24,1,6583,0.0,0.0,Continuous,Punjab,Chandigarh,T30,18-25,Female,7.6,Pending
INV000140,2024-04-09,2024-09-13,2,59751,157.0,157.0,At Risk,Punjab,Amritsar,B30,56+,Male,74.0,Verified
INV000141,2025-03-18,2025-03-18,1,8219,0.0,0.0,Continuous,Maharashtra,Pune,T30,26-35,Male,22.1,Verified
INV000143,2024-02-28,2025-01-01,4,96152,237.0,102.67,At Risk,Haryana,Gurugram,T30,26-35,Male,23.8,Verified
INV000144,2024-01-04,2025-01-03,3,11051,265.0,182.5,At Risk,Delhi,Noida,T30,26-35,Male,19.1,Verified
INV000145,2024-02-17,2025-05-09,6,127034,282.0,89.4,At Risk,Delhi,New Delhi,T30,26-35,Male,9.3,Verified
INV000146,2024-02-12,2025-01-11,6,88618,171.0,66.8,At Risk,Delhi,Gurugram,T30,26-35,Male,14.1,Verified
INV000147,2024-05-11,2025-04-24,4,63649,216.0,116.0,At Risk,Rajasthan,Jaipur,T30,26-35,Male,15.7,Pending
INV000148,2024-03-11,2025-05-01,9,90012,168.0,52.0,At Risk,Telangana,Hyderabad,T30,18-25,Female,3.5,Pending
INV000150,2024-02-15,2025-03-24,5,14915,176.0,100.75,At Risk,Karnataka,Mysore,B30,18-25,Male,3.5,Verified
INV000151,2024-04-14,2025-01-12,3,82907,219.0,136.5,At Risk,Delhi,New Delhi,T30,18-25,Male,5.1,Verified
INV000152,2024-11-21,2024-11-21,1,55234,0.0,0.0,Continuous,Haryana,Faridabad,B30,56+,Female,58.1,Verified
INV000153,2024-06-20,2024-10-30,4,18065,97.0,44.0,At Risk,Karnataka,Mysore,B30,26-35,Male,14.1,Verified
INV000154,2024-05-07,2025-01-18,5,37245,90.0,64.0,At Risk,Haryana,Faridabad,B30,36-45,Male,51.3,Verified
INV000155,2024-06-18,2025-01-28,7,57530,99.0,37.33,At Risk,Madhya Pradesh,Bhopal,B30,26-35,Female,17.4,Verified
INV000156,2024-01-08,2025-05-01,4,16322,344.0,159.67,At Risk,Telangana,Hyderabad,T30,46-55,Male,29.1,Verified
INV000158,2024-03-07,2025-04-23,5,80381,144.0,103.0,At Risk,Madhya Pradesh,Bhopal,B30,36-45,Male,26.1,Verified
INV000159,2024-04-19,2025-05-26,3,38250,218.0,201.0,At Risk,West Bengal,Kolkata,T30,36-45,Male,12.1,Verified
INV000160,2024-08-03,2024-10-16,3,45447,69.0,37.0,At Risk,Tamil Nadu,Chennai,T30,36-45,Female,26.8,Verified
INV000161,2024-02-23,2025-05-06,7,44287,213.0,73.0,At Risk,Rajasthan,Jaipur,T30,18-25,Female,6.8,Pending
INV000162,2024-03-06,2025-05-15,2,18379,435.0,435.0,At Risk,Haryana,Gurugram,T30,26-35,Female,25.0,Verified
INV000163,2024-01-06,2025-03-08,8,58271,80.0,61.0,At Risk,Uttar Pradesh,Kanpur,B30,46-55,Male,70.4,Verified
INV000164,2024-04-17,2025-02-20,6,25253,208.0,61.8,At Risk,Rajasthan,Udaipur,B30,18-25,Male,6.0,Verified
INV000165,2024-03-30,2025-05-29,4,70454,249.0,141.67,At Risk,Punjab,Chandigarh,T30,36-45,Female,18.8,Pending
INV000166,2024-01-06,2025-05-18,4,10913,368.0,166.0,At Risk,Telangana,Hyderabad,T30,26-35,Male,24.4,Verified
INV000167,2024-01-09,2025-02-02,5,33355,195.0,97.5,At Risk,Gujarat,Ahmedabad,T30,56+,Male,55.3,Verified
INV000168,2024-02-22,2024-02-22,1,2090,0.0,0.0,Continuous,Rajasthan,Jaipur,T30,26-35,Male,9.7,Verified
INV000169,2024-03-17,2025-04-28,7,48708,145.0,67.83,At Risk,Rajasthan,Jaipur,T30,26-35,Male,6.9,Verified
INV000170,2024-08-13,2024-08-31,2,15598,18.0,18.0,Continuous,Haryana,Gurugram,T30,36-45,Female,12.4,Verified
INV000171,2024-01-11,2024-04-18,2,1032,98.0,98.0,At Risk,Delhi,Noida,T30,18-25,Female,6.2,Verified
INV000172,2024-04-12,2025-05-17,4,70516,298.0,133.33,At Risk,Delhi,Noida,T30,36-45,Male,53.2,Verified
INV000173,2024-04-18,2025-03-30,7,78387,165.0,57.67,At Risk,Maharashtra,Mumbai,T30,26-35,Male,7.6,Verified
INV000174,2024-01-27,2025-05-19,5,26905,315.0,119.5,At Risk,Karnataka,Bangalore,T30,36-45,Male,58.1,Verified
INV000175,2024-01-12,2025-05-28,7,71320,170.0,83.67,At Risk,Karnataka,Bangalore,T30,26-35,Male,17.3,Verified
INV000176,2024-02-08,2025-03-17,3,54541,204.0,201.5,At Risk,Rajasthan,Jaipur,T30,26-35,Male,13.4,Verified
INV000177,2024-01-16,2025-04-18,8,51520,278.0,65.43,At Risk,Rajasthan,Jaipur,T30,26-35,Male,17.6,Verified
INV000178,2024-06-08,2025-01-24,2,8750,230.0,230.0,At Risk,West Bengal,Kolkata,T30,56+,Female,43.0,Verified
INV000179,2024-05-25,2024-10-31,5,78677,85.0,39.75,At Risk,Rajasthan,Udaipur,B30,26-35,Male,10.0,Verified
INV000180,2024-05-07,2025-03-12,6,15924,229.0,61.8,At Risk,Tamil Nadu,Coimbatore,B30,46-55,Female,24.7,Verified
INV000181,2024-01-05,2024-11-21,3,19264,286.0,160.5,At Risk,Uttar Pradesh,Lucknow,T30,36-45,Male,36.2,Verified
INV000182,2024-04-15,2025-01-22,5,25383,182.0,70.5,At Risk,Tamil Nadu,Chennai,T30,36-45,Male,38.1,Verified
INV000183,2024-02-20,2025-05-14,9,86040,216.0,56.12,At Risk,Tamil Nadu,Coimbatore,B30,26-35,Male,9.8,Verified
INV000184,2024-02-10,2024-02-10,1,6111,0.0,0.0,Continuous,Gujarat,Ahmedabad,T30,36-45,Male,53.1,Verified
INV000185,2024-05-04,2024-11-16,2,14773,196.0,196.0,At Risk,Telangana,Hyderabad,T30,46-55,Male,50.3,Pending
INV000189,2024-01-14,2024-11-16,3,12718,216.0,153.5,At Risk,Uttar Pradesh,Lucknow,T30,36-45,Male,47.3,Verified
INV000190,2024-10-21,2025-05-29,5,33261,97.0,55.0,At Risk,Madhya Pradesh,Indore,T30,26-35,Female,8.2,Verified
INV000191,2024-04-12,2025-03-17,7,68656,161.0,56.5,At Risk,Karnataka,Bangalore,T30,26-35,Male,23.1,Verified
INV000192,2024-02-11,2025-03-16,5,17971,208.0,99.75,At Risk,Haryana,Faridabad,B30,26-35,Male,24.4,Verified
INV000193,2024-01-28,2025-05-08,4,31619,392.0,155.33,At Risk,Delhi,Gurugram,T30,26-35,Female,11.6,Verified
INV000194,2024-05-23,2025-05-06,7,61857,109.0,58.0,At Risk,Maharashtra,Pune,T30,36-45,Male,21.6,Verified
INV000195,2024-04-08,2025-04-30,6,21739,114.0,77.4,At Risk,Madhya Pradesh,Bhopal,B30,36-45,Female,56.5,Verified
INV000196,2024-03-17,2025-05-05,7,80685,176.0,69.0,At Risk,Tamil Nadu,Chennai,T30,26-35,Male,17.9,Pending
INV000197,2025-02-26,2025-02-26,1,20100,0.0,0.0,Continuous,Maharashtra,Mumbai,T30,18-25,Male,6.9,Verified
INV000198,2024-09-07,2024-09-07,1,462,0.0,0.0,Continuous,Punjab,Chandigarh,T30,46-55,Male,21.5,Verified
INV000199,2024-08-13,2025-02-24,4,8715,153.0,65.0,At Risk,Telangana,Hyderabad,T30,36-45,Female,15.7,Verified
INV000200,2024-01-16,2024-12-22,4,59351,244.0,113.67,At Risk,Rajasthan,Udaipur,B30,18-25,Male,4.0,Verified
INV000201,2024-01-17,2025-03-01,9,98278,100.0,51.12,At Risk,Madhya Pradesh,Indore,T30,46-55,Male,87.0,Verified
INV000202,2024-03-21,2025-03-04,2,28207,348.0,348.0,At Risk,Haryana,Gurugram,T30,18-25,Male,4.1,Pending
INV000203,2024-03-19,2024-09-06,5,47750,98.0,42.75,At Risk,Maharashtra,Nashik,B30,26-35,Male,16.0,Verified
INV000204,2025-01-23,2025-03-12,2,70371,48.0,48.0,At Risk,Punjab,Chandigarh,T30,36-45,Male,17.7,Verified
INV000205,2024-01-27,2025-04-09,8,72091,193.0,62.57,At Risk,Haryana,Faridabad,B30,18-25,Male,4.4,Verified
INV000206,2024-09-26,2024-09-26,1,1631,0.0,0.0,Continuous,Punjab,Amritsar,B30,26-35,Male,9.8,Verified
INV000207,2024-04-25,2025-05-10,5,66956,238.0,95.0,At Risk,Madhya Pradesh,Indore,T30,26-35,Female,18.0,Verified
INV000208,2024-06-19,2024-06-19,1,2572,0.0,0.0,Continuous,Gujarat,Surat,T30,36-45,Male,28.3,Verified
INV000209,2025-01-05,2025-01-05,1,503,0.0,0.0,Continuous,Haryana,Faridabad,B30,18-25,Female,5.7,Verified
INV000210,2024-01-14,2025-05-23,8,93572,163.0,70.71,At Risk,Rajasthan,Jaipur,T30,26-35,Male,9.1,Verified
INV000211,2024-02-07,2025-05-16,5,34288,214.0,116.0,At Risk,Punjab,Chandigarh,T30,26-35,Male,17.0,Verified
INV000212,2024-06-18,2024-06-18,1,5127,0.0,0.0,Continuous,Rajasthan,Udaipur,B30,36-45,Male,54.3,Verified
INV000213,2024-03-09,2024-12-04,4,11428,163.0,90.0,At Risk,Punjab,Chandigarh,T30,26-35,Male,19.6,Verified
INV000214,2024-01-11,2025-04-29,6,67357,306.0,94.8,At Risk,Madhya Pradesh,Indore,T30,26-35,Female,20.7,Verified
