amfi_code,scheme_name,fund_house,category,CAGR_1Y_pct,CAGR_3Y_pct,CAGR_Till_Date_pct,Sharpe_Ratio,Sortino_Ratio,alpha_pct,beta,max_drawdown_pct,CAGR_1Y_Score,CAGR_3Y_Score,Sharpe_Score,Sortino_Score,Alpha_Score,Drawdown_Score,Overall_Score,Overall_Rank
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,28.68,18.43,19.02,0.822,0.852,12.957,0.049,-15.2,56.919891702500394,64.37419906023068,54.040852575488465,53.697334479793646,49.03514376996806,28.778349533066518,53.35,14
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,41.82,18.42,17.08,0.693,0.707,10.185,0.055,-19.83,67.38334129638478,64.3528406663819,48.3126110124334,47.463456577816,40.178913738019176,37.602439489231934,52.92,15
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,7.43,7.39,7.24,1.857,1.929,0.891,0.06,-0.1,39.99840738971174,40.794532251174715,100.0,100.0,10.48562300319489,0.0,52.73,16
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,13.58,25.56,16.84,0.662,0.692,11.256,-0.015,-21.54,44.8956840261188,79.60273387441264,46.9360568383659,46.81857265692175,43.60063897763579,40.861444635029535,51.94,17
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,14.27,14.75,22.52,0.97,1.0,,,-15.27,45.44513457556935,56.51431012387869,60.61278863232683,60.06018916595013,50.0,28.911759100438346,51.91,18
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,20.21,19.67,18.23,0.869,0.897,11.797,-0.002,-10.86,50.17518713170887,67.02263989747972,56.127886323268214,55.63198624247635,45.32907348242812,20.50695635601296,51.86,19
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,5.71,16.27,21.52,1.002,1.03,14.895,-0.026,-11.8,38.62876254180602,59.76078598889364,62.03374777975134,61.34995700773861,55.226837060702884,22.298456260720414,51.8,20
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,25.54,21.09,16.27,0.693,0.733,10.077,-0.037,-18.63,54.41949354992833,70.05553182400683,48.3126110124334,48.581255374032665,39.83386581469649,35.31541833428625,51.35,21
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,22.49,20.01,15.96,0.717,0.738,9.692,-0.014,-11.65,51.990762860328076,67.74882528833832,49.37833037300178,48.79621668099742,38.6038338658147,22.0125786163522,49.13,22
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,8.49,13.98,18.79,0.846,0.87,12.343,-0.04,-13.9,40.84249084249084,54.86971379752242,55.106571936056845,54.471195184866716,47.07348242811502,26.30074328187536,48.03,23
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,16.84,17.27,13.53,0.544,0.553,7.709,0.036,-17.57,47.491638795986624,61.8966253737719,41.696269982238015,40.84264832330181,32.26837060702876,33.295216314084236,44.51,24
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,18.11,18.04,13.39,0.511,0.516,7.596,-0.004,-14.84,48.50294632903328,63.54122170012815,40.23090586145649,39.25193465176268,31.907348242811505,28.09224318658281,43.94,25
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,15.81,8.01,16.37,0.475,0.478,12.736,0.0,-23.34,46.67144449753145,42.11875266979923,38.632326820603915,37.61822871883061,48.32907348242812,44.291976367448065,42.81,26
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,7.12,6.7,6.92,1.221,1.257,0.617,0.024,-0.12,39.75155279503105,39.320803075608715,71.75843694493784,71.10920034393808,9.610223642172524,0.038117019249094705,42.28,27
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,19.77,20.82,7.9,0.178,0.177,2.589,0.026,-21.75,49.824812868291126,69.4788551900897,25.44404973357016,24.67755803955288,15.910543130990417,41.261673337145034,39.16,28
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,15.44,11.25,11.3,0.337,0.336,4.981,0.059,-21.12,46.37681159420289,49.03887227680478,32.5044404973357,31.513327601031815,23.552715654952078,40.06098723079855,37.85,29
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,22.5,7.76,6.7,0.114,0.112,2.859,-0.035,-24.0,51.998725911769384,41.58479282357966,22.60213143872114,21.883061049011175,16.773162939297126,45.54983800266819,33.59,30
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,7.24,6.32,6.51,0.512,0.509,0.275,-0.03,-0.16,39.8471094123268,38.509184109354976,40.2753108348135,38.950988822012036,8.517571884984026,0.11435105774728416,30.86,31
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,13.95,-1.34,2.05,-0.03,-0.03,-0.979,0.011,-52.57,45.19031692944736,22.148654421187526,16.207815275310836,15.778159931212382,4.511182108626198,100.0,29.75,32
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-23.99,-4.15,7.94,0.189,0.192,6.033,-0.049,-35.45,14.978499761108456,16.146945749679624,25.93250444049734,25.32244196044712,26.91373801916933,67.37183152277493,25.98,33
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.61,0.53,6.37,0.079,0.08,1.135,0.01,-14.4,35.36391145086797,26.142674070909866,21.047957371225582,20.507308684436804,11.26517571884984,27.253668763102727,24.0,34
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,3.7,3.92,4.46,-0.395,-0.397,,,-4.31,37.02818920210225,33.38316958564716,0.0,0.0,50.0,8.023632551934439,22.38,35
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,5.52,5.84,5.89,-0.057,-0.057,-0.222,-0.001,-4.33,38.47746456442108,37.483981204613414,15.008880994671406,14.617368873602752,6.929712460063898,8.061749571183533,22.23,36
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,10.45,4.06,5.32,-0.188,-0.188,-0.704,-0.01,-8.32,42.403248924988056,33.68218709953011,9.19182948490231,8.985382631126399,5.389776357827477,15.66609491137793,20.78,37
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,-2.22,1.29,2.64,-0.155,-0.159,-2.391,-0.058,-24.73,32.31406274884536,27.76591200341734,10.657193605683839,10.232158211521925,0.0,46.94110920526015,20.38,38
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-16.8,-0.77,1.17,-0.169,-0.165,-1.941,-0.049,-28.0,20.703933747412005,23.366082870568135,10.035523978685614,9.974204643164231,1.4376996805111821,53.17324185248713,17.85,39
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-42.8,-11.71,1.52,-0.049,-0.049,-0.303,-0.046,-51.68,0.0,0.0,15.364120781527536,14.961306964746345,6.670926517571886,98.30379264341529,16.15,40
