amfi_code,stock_symbol,stock_name,sector,weight_pct,market_value_cr,current_price_inr,portfolio_date
101206,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,3.54,519.75,5034.91,2025-12-31
101206,MARUTI,Maruti Suzuki India Ltd,Automobile,5.99,1436.34,4697.14,2025-12-31
101207,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,35.07,285.75,5455.74,2025-12-31
101207,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,19.26,1295.94,1039.64,2025-12-31
101207,ULTRACEMCO,UltraTech Cement Ltd,Cement,10.31,1486.25,364.82,2025-12-31
101207,HCLTECH,HCL Technologies Ltd,IT,7.7,125.97,7023.37,2025-12-31
101207,M&M,Mahindra & Mahindra Ltd,Automobile,12.01,1615.91,2852.68,2025-12-31
101207,TATAMOTOR,Tata Motors Ltd,Automobile,4.84,623.33,2445.29,2025-12-31
101207,RELIANCE,Reliance Industries Ltd,Energy,8.1,939.21,7103.06,2025-12-31
101207,LT,Larsen & Toubro Ltd,Infrastructure,2.7,74.35,4843.16,2025-12-31
102885,MARUTI,Maruti Suzuki India Ltd,Automobile,14.32,289.91,4924.89,2025-12-31
102885,INDUSINDBK,IndusInd Bank Ltd,Banking,21.75,112.98,5206.32,2025-12-31
102885,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,7.05,1831.03,5143.85,2025-12-31
102885,NESTLEIND,Nestle India Ltd,FMCG,5.26,60.84,437.69,2025-12-31
102885,HCLTECH,HCL Technologies Ltd,IT,7.11,300.72,6989.33,2025-12-31
102885,KOTAKBANK,Kotak Mahindra Bank,Banking,1.38,1157.83,1089.14,2025-12-31
102885,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,6.59,686.86,5523.71,2025-12-31
102885,GRASIM,Grasim Industries Ltd,Diversified,7.59,1873.94,2243.25,2025-12-31
102885,NTPC,NTPC Ltd,Utilities,28.95,994.9,4140.59,2025-12-31
102886,INFY,Infosys Ltd,IT,12.23,1519.3,5784.12,2025-12-31
102886,POWERGRID,Power Grid Corporation,Utilities,6.26,109.7,5666.75,2025-12-31
102886,NESTLEIND,Nestle India Ltd,FMCG,8.39,214.19,1841.42,2025-12-31
102886,RELIANCE,Reliance Industries Ltd,Energy,7.29,1332.3,2766.01,2025-12-31
102886,NTPC,NTPC Ltd,Utilities,7.45,674.08,2946.22,2025-12-31
102886,TATAMOTOR,Tata Motors Ltd,Automobile,14.13,1899.26,7301.8,2025-12-31
102886,LT,Larsen & Toubro Ltd,Infrastructure,5.69,361.01,6161.34,2025-12-31
102886,CIPLA,Cipla Ltd,Pharma,4.96,1559.12,3495.4,2025-12-31
102886,TITAN,Titan Company Ltd,Consumer Goods,18.99,1797.48,4089.04,2025-12-31
102886,ASIANPAINT,Asian Paints Ltd,Paints,12.56,1621.24,438.37,2025-12-31
102886,BHARTIARTL,Bharti Airtel Ltd,Telecom,2.03,432.92,734.47,2025-12-31
102887,KOTAKBANK,Kotak Mahindra Bank,Banking,10.95,1635.39,4619.66,2025-12-31
102887,M&M,Mahindra & Mahindra Ltd,Automobile,4.77,1593.15,7144.77,2025-12-31
102887,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,4.07,1193.53,3304.74,2025-12-31
102887,DRREDDY,Dr. Reddy's Laboratories,Pharma,19.31,1051.37,438.41,2025-12-31
102887,HDFCBANK,HDFC Bank Ltd,Banking,5.85,436.89,3243.62,2025-12-31
102887,SBIN,State Bank of India,Banking,8.37,1660.53,768.79,2025-12-31
102887,INFY,Infosys Ltd,IT,10.14,512.93,3567.17,2025-12-31
102887,CIPLA,Cipla Ltd,Pharma,19.73,1599.0,2093.34,2025-12-31
102887,MARUTI,Maruti Suzuki India Ltd,Automobile,4.66,1455.73,4842.0,2025-12-31
102887,GRASIM,Grasim Industries Ltd,Diversified,12.16,396.63,7059.58,2025-12-31
148567,AXISBANK,Axis Bank Ltd,Banking,10.78,1543.57,1910.05,2025-12-31
148567,ASIANPAINT,Asian Paints Ltd,Paints,12.63,1916.78,4502.46,2025-12-31
148567,RELIANCE,Reliance Industries Ltd,Energy,11.42,1920.78,2358.55,2025-12-31
148567,INDUSINDBK,IndusInd Bank Ltd,Banking,8.49,1638.77,7509.2,2025-12-31
148567,BHARTIARTL,Bharti Airtel Ltd,Telecom,10.05,1732.44,5968.64,2025-12-31
148567,GRASIM,Grasim Industries Ltd,Diversified,22.93,1076.44,247.69,2025-12-31
148567,HCLTECH,HCL Technologies Ltd,IT,12.18,1190.21,536.81,2025-12-31
148567,ICICIBANK,ICICI Bank Ltd,Banking,11.51,483.68,6617.15,2025-12-31
148568,TCS,Tata Consultancy Services,IT,6.77,1005.62,1183.81,2025-12-31
148568,SBIN,State Bank of India,Banking,28.61,498.31,2893.58,2025-12-31
148568,ULTRACEMCO,UltraTech Cement Ltd,Cement,12.75,345.42,7832.89,2025-12-31
148568,POWERGRID,Power Grid Corporation,Utilities,17.04,1270.82,7469.46,2025-12-31
148568,ICICIBANK,ICICI Bank Ltd,Banking,5.19,716.33,5245.19,2025-12-31
148568,RELIANCE,Reliance Industries Ltd,Energy,8.08,1391.82,5973.41,2025-12-31
148568,BHARTIARTL,Bharti Airtel Ltd,Telecom,6.44,1779.28,1990.0,2025-12-31
148568,HCLTECH,HCL Technologies Ltd,IT,15.11,780.09,6804.51,2025-12-31
148569,TATAMOTOR,Tata Motors Ltd,Automobile,3.51,940.8,1757.42,2025-12-31
148569,POWERGRID,Power Grid Corporation,Utilities,13.37,1349.35,1078.77,2025-12-31
148569,HDFCBANK,HDFC Bank Ltd,Banking,13.02,239.29,7246.42,2025-12-31
148569,ULTRACEMCO,UltraTech Cement Ltd,Cement,2.61,100.2,2456.65,2025-12-31
148569,KOTAKBANK,Kotak Mahindra Bank,Banking,12.68,1097.74,5166.81,2025-12-31
148569,CIPLA,Cipla Ltd,Pharma,7.63,836.73,2983.88,2025-12-31
148569,BHARTIARTL,Bharti Airtel Ltd,Telecom,25.53,832.15,5736.45,2025-12-31
148569,ICICIBANK,ICICI Bank Ltd,Banking,14.12,152.28,428.19,2025-12-31
148569,HCLTECH,HCL Technologies Ltd,IT,7.51,1604.94,7241.49,2025-12-31
149322,M&M,Mahindra & Mahindra Ltd,Automobile,11.83,421.51,5461.49,2025-12-31
149322,DRREDDY,Dr. Reddy's Laboratories,Pharma,18.28,827.19,4418.19,2025-12-31
